MPRN,Export Volume (kWh),Export Type
9999999999,0.0,Metered
9999999999,0.0,Metered
9999999999,0.0,Metered
9999999999,0.0,Metered
9999999999,0.0,Metered
9999999999,0.0,Metered
9999999999,9.605,Metered
9999999999,23.7725,Metered
9999999999,12.158999999999995,Metered
9999999999,7.930999999999999,Metered
9999999999,12.5665,Metered
9999999999,23.96850000000001,Metered
9999999999,22.883499999999994,Metered
9999999999,20.5755,Metered
9999999999,18.665,Metered
9999999999,4.009,Metered
9999999999,2.0815,Metered
9999999999,0.6599999999999997,Metered
9999999999,0.15,Metered
9999999999,13.9155,Metered
9999999999,2.9035,Metered
9999999999,0.3025,Metered
9999999999,14.4685,Metered
9999999999,7.482499999999998,Metered
9999999999,0.1675,Metered
9999999999,0.6214999999999997,Metered
9999999999,15.353500000000004,Metered
9999999999,17.715,Metered
9999999999,15.622000000000002,Metered
9999999999,0.2355,Metered
9999999999,0.2235,Metered
9999999999,0.4505,Metered
9999999999,12.017000000000005,Metered
9999999999,12.317000000000002,Metered
9999999999,2.2035,Metered
9999999999,14.887,Metered
9999999999,13.643500000000005,Metered
9999999999,11.797,Metered
9999999999,0.2455000000000001,Metered
9999999999,9.451499999999998,Metered
9999999999,0.9724999999999996,Metered
9999999999,2.7475,Metered
9999999999,8.374000000000002,Metered
9999999999,0.2445,Metered
9999999999,9.698000000000004,Metered
9999999999,5.8625,Metered
9999999999,11.0825,Metered
9999999999,4.415000000000003,Metered
9999999999,4.415499999999999,Metered
9999999999,0.6234999999999999,Metered
9999999999,0.1725,Metered
9999999999,2.5200000000000005,Metered
9999999999,0.172,Metered
9999999999,2.6220000000000003,Metered
9999999999,1.9875,Metered
9999999999,3.1049999999999995,Metered
9999999999,0.143,Metered
9999999999,0.0945,Metered
9999999999,0.114,Metered
9999999999,0.0625,Metered
9999999999,0.134,Metered
9999999999,0.152,Metered
9999999999,0.171,Metered
9999999999,0.6144999999999995,Metered
9999999999,0.0935,Metered
9999999999,0.1575,Metered
9999999999,1.618499999999999,Metered
9999999999,6.089499999999999,Metered
9999999999,6.4,Metered
9999999999,2.7835,Metered
9999999999,0.112,Metered
9999999999,1.9305,Metered
9999999999,0.1665000000000001,Metered
9999999999,0.2265,Metered
9999999999,0.137,Metered
9999999999,0.5529999999999998,Metered
9999999999,3.702500000000001,Metered
9999999999,4.2265,Metered
9999999999,3.581,Metered
9999999999,0.251,Metered
9999999999,0.201,Metered
9999999999,3.2935000000000008,Metered
9999999999,3.794,Metered
9999999999,5.737,Metered
9999999999,0.035,Metered
9999999999,0.027,Metered
9999999999,0.1235,Metered
9999999999,0.2175,Metered
9999999999,3.2685,Metered
9999999999,2.643,Metered
9999999999,0.017,Metered
9999999999,0.086,Metered
9999999999,0.043,Metered
9999999999,2.2355000000000005,Metered
9999999999,2.6325000000000003,Metered
9999999999,0.1575,Metered
9999999999,0.14,Metered
9999999999,0.061,Metered
9999999999,0.071,Metered
9999999999,0.095,Metered
9999999999,0.07,Metered
9999999999,0.0765,Metered
9999999999,0.3695,Metered
9999999999,0.0665,Metered
9999999999,0.0835,Metered
9999999999,3.039,Metered
9999999999,0.2065,Metered
9999999999,0.147,Metered
9999999999,1.07,Metered
9999999999,0.059,Metered
