MPRN,Date,Export Volume (kWh),Export Type
9999999999,2024-09-05,0,Metered
9999999999,2024-09-06,0,Metered
9999999999,2024-09-07,0,Metered
9999999999,2024-09-08,0,Metered
9999999999,2024-09-09,0,Metered
9999999999,2024-09-10,0,Metered
9999999999,2024-09-11,9.605,Metered
9999999999,2024-09-12,23.7725,Metered
9999999999,2024-09-13,12.158999999999997,Metered
9999999999,2024-09-14,7.930999999999999,Metered
9999999999,2024-09-15,12.566500000000001,Metered
9999999999,2024-09-16,23.968500000000006,Metered
9999999999,2024-09-17,22.883499999999994,Metered
9999999999,2024-09-18,20.5755,Metered
9999999999,2024-09-19,18.665,Metered
9999999999,2024-09-20,4.009,Metered
9999999999,2024-09-21,2.0814999999999997,Metered
9999999999,2024-09-22,0.6599999999999997,Metered
9999999999,2024-09-23,0.15000000000000008,Metered
9999999999,2024-09-24,13.9155,Metered
9999999999,2024-09-25,2.9034999999999997,Metered
9999999999,2024-09-26,0.30250000000000005,Metered
9999999999,2024-09-27,14.468499999999999,Metered
9999999999,2024-09-28,7.482499999999998,Metered
9999999999,2024-09-29,0.16750000000000004,Metered
9999999999,2024-09-30,0.6214999999999997,Metered
9999999999,2024-10-01,15.353500000000004,Metered
9999999999,2024-10-02,17.715,Metered
9999999999,2024-10-03,15.622000000000002,Metered
9999999999,2024-10-04,0.23550000000000001,Metered
9999999999,2024-10-05,0.22350000000000006,Metered
9999999999,2024-10-06,0.45050000000000007,Metered
9999999999,2024-10-07,12.017000000000003,Metered
9999999999,2024-10-08,12.317000000000002,Metered
9999999999,2024-10-09,2.2035,Metered
9999999999,2024-10-10,14.887,Metered
9999999999,2024-10-11,13.643500000000003,Metered
9999999999,2024-10-12,11.797,Metered
9999999999,2024-10-13,0.2455000000000001,Metered
9999999999,2024-10-14,9.451499999999998,Metered
9999999999,2024-10-15,0.9724999999999997,Metered
9999999999,2024-10-16,2.7475,Metered
9999999999,2024-10-17,8.374000000000002,Metered
9999999999,2024-10-18,0.24450000000000005,Metered
9999999999,2024-10-19,9.698000000000004,Metered
9999999999,2024-10-20,5.8625,Metered
9999999999,2024-10-21,11.0825,Metered
9999999999,2024-10-22,4.415000000000003,Metered
9999999999,2024-10-23,4.415499999999999,Metered
9999999999,2024-10-24,0.6234999999999999,Metered
9999999999,2024-10-25,0.17250000000000004,Metered
9999999999,2024-10-26,2.5200000000000005,Metered
9999999999,2024-10-27,0.17200000000000001,Metered
9999999999,2024-10-28,2.6220000000000003,Metered
9999999999,2024-10-29,1.9874999999999996,Metered
9999999999,2024-10-30,3.1049999999999995,Metered
9999999999,2024-10-31,0.14300000000000002,Metered
9999999999,2024-11-01,0.09450000000000003,Metered
9999999999,2024-11-02,0.11400000000000002,Metered
9999999999,2024-11-03,0.06250000000000001,Metered
9999999999,2024-11-04,0.13400000000000004,Metered
9999999999,2024-11-05,0.15200000000000002,Metered
9999999999,2024-11-06,0.171,Metered
9999999999,2024-11-07,0.6144999999999995,Metered
9999999999,2024-11-08,0.09350000000000003,Metered
9999999999,2024-11-09,0.15750000000000003,Metered
9999999999,2024-11-10,1.618499999999999,Metered
9999999999,2024-11-11,6.089499999999999,Metered
9999999999,2024-11-12,6.3999999999999995,Metered
9999999999,2024-11-13,2.7834999999999996,Metered
9999999999,2024-11-14,0.11200000000000004,Metered
9999999999,2024-11-15,1.9304999999999999,Metered
9999999999,2024-11-16,0.1665000000000001,Metered
9999999999,2024-11-17,0.22650000000000003,Metered
9999999999,2024-11-18,0.137,Metered
9999999999,2024-11-19,0.5529999999999998,Metered
9999999999,2024-11-20,3.7025000000000006,Metered
9999999999,2024-11-21,4.2265,Metered
9999999999,2024-11-22,3.581,Metered
9999999999,2024-11-23,0.251,Metered
9999999999,2024-11-24,0.20100000000000007,Metered
9999999999,2024-11-25,3.2935000000000008,Metered
9999999999,2024-11-26,3.7939999999999996,Metered
9999999999,2024-11-27,5.737,Metered
9999999999,2024-11-28,0.035,Metered
9999999999,2024-11-29,0.027000000000000003,Metered
9999999999,2024-11-30,0.12350000000000003,Metered
9999999999,2024-12-01,0.21750000000000008,Metered
9999999999,2024-12-02,3.2685,Metered
9999999999,2024-12-03,2.643,Metered
9999999999,2024-12-04,0.017,Metered
9999999999,2024-12-05,0.08600000000000001,Metered
9999999999,2024-12-06,0.043000000000000003,Metered
9999999999,2024-12-07,2.2355000000000005,Metered
9999999999,2024-12-08,2.6325000000000003,Metered
9999999999,2024-12-09,0.15750000000000003,Metered
9999999999,2024-12-10,0.14,Metered
9999999999,2024-12-11,0.061000000000000006,Metered
9999999999,2024-12-12,0.07100000000000001,Metered
9999999999,2024-12-13,0.09500000000000003,Metered
9999999999,2024-12-14,0.07,Metered
9999999999,2024-12-15,0.07650000000000001,Metered
9999999999,2024-12-16,0.3695,Metered
9999999999,2024-12-17,0.0665,Metered
9999999999,2024-12-18,0.08350000000000002,Metered
9999999999,2024-12-19,3.0389999999999997,Metered
9999999999,2024-12-20,0.20650000000000004,Metered
9999999999,2024-12-21,0.14700000000000002,Metered
9999999999,2024-12-22,1.07,Metered
9999999999,2024-12-23,0.05900000000000001,Metered
9999999999,2024-12-24,0.1205,Metered
9999999999,2024-12-25,0.05750000000000001,Metered
9999999999,2024-12-26,0.07050000000000001,Metered
9999999999,2024-12-27,0.10650000000000004,Metered
9999999999,2024-12-28,0.6519999999999996,Metered
9999999999,2024-12-29,0.1345,Metered
9999999999,2024-12-30,0.18100000000000005,Metered
9999999999,2024-12-31,0.07650000000000001,Metered
9999999999,2025-01-01,5.189999999999999,Metered
9999999999,2025-01-02,5.940499999999999,Metered
9999999999,2025-01-03,5.158999999999999,Metered
9999999999,2025-01-04,0.0835,Metered
9999999999,2025-01-05,0.04,Metered
9999999999,2025-01-06,1.7785,Metered
9999999999,2025-01-07,4.4735,Metered
9999999999,2025-01-08,0.249,Metered
9999999999,2025-01-09,4.9445,Metered
9999999999,2025-01-10,2.99,Metered
9999999999,2025-01-11,0.06000000000000001,Metered
9999999999,2025-01-12,0.201,Metered
9999999999,2025-01-13,0.05900000000000001,Metered
9999999999,2025-01-14,0.11,Metered
9999999999,2025-01-15,8.0475,Metered
9999999999,2025-01-16,1.2579999999999991,Metered
9999999999,2025-01-17,1.5504999999999993,Metered
9999999999,2025-01-18,2.796500000000001,Metered
9999999999,2025-01-19,0.15450000000000003,Metered
9999999999,2025-01-20,0.14400000000000004,Metered
9999999999,2025-01-21,0.5539999999999995,Metered
9999999999,2025-01-22,0.11700000000000002,Metered
9999999999,2025-01-23,0.7004999999999996,Metered
9999999999,2025-01-24,0.266,Metered
9999999999,2025-01-25,2.6325000000000003,Metered
9999999999,2025-01-26,0.0835,Metered
9999999999,2025-01-27,0.48849999999999993,Metered
9999999999,2025-01-28,0.36950000000000005,Metered
9999999999,2025-01-29,6.125,Metered
9999999999,2025-01-30,2.9414999999999987,Metered
9999999999,2025-01-31,6.6594999999999995,Metered
