# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2024-08-22T00:00:00.0,
# Date end (ISO 8601): 2025-12-23T00:00:00.0,
# Latitude (positive North,ISO 19115): 53.6985
# Longitude (positive East,ISO 19115): -6.2080
# Altitude (m): 0.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2025-12-24,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2024-10-21T13:00:00.0/2024-10-21T14:00:00.0;536.8087;376.7736;287.9442;88.8295;737.1840;353.7052;249.1569;104.5483;635.3577;1.0000,
2024-10-21T14:00:00.0/2024-10-21T15:00:00.0;439.8898;293.9940;213.2055;80.7885;664.3357;261.0373;153.0374;107.9999;467.2894;1.0000,
2024-10-21T15:00:00.0/2024-10-21T16:00:00.0;298.5648;178.8582;113.1679;65.6903;511.5705;135.2751;25.7089;109.5663;118.0568;1.0000,
2024-10-21T16:00:00.0/2024-10-21T17:00:00.0;122.4514;55.2377;22.5880;32.6496;201.2741;40.5591;3.2259;37.3332;43.5087;1.0000,
2024-10-21T17:00:00.0/2024-10-21T18:00:00.0;1.6330;0.3970;0.0081;0.3889;0.0000;0.3970;0.0081;0.3889;0.0000;0.9667,
2024-10-21T18:00:00.0/2024-10-21T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-21T19:00:00.0/2024-10-21T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-21T20:00:00.0/2024-10-21T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-21T21:00:00.0/2024-10-21T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-21T22:00:00.0/2024-10-21T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-21T23:00:00.0/2024-10-22T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T00:00:00.0/2024-10-22T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T01:00:00.0/2024-10-22T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T02:00:00.0/2024-10-22T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T03:00:00.0/2024-10-22T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T04:00:00.0/2024-10-22T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T05:00:00.0/2024-10-22T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T06:00:00.0/2024-10-22T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T07:00:00.0/2024-10-22T08:00:00.0;62.5406;26.8658;11.2277;15.6381;139.9241;14.6654;0.0047;14.6607;0.0589;0.6083,
2024-10-22T08:00:00.0/2024-10-22T09:00:00.0;242.3183;143.4634;94.8247;48.6387;523.7418;90.7513;9.4087;81.3427;43.6246;0.8417,
2024-10-22T09:00:00.0/2024-10-22T10:00:00.0;394.8872;263.5738;196.2469;67.3269;681.3797;204.4558;100.6056;103.8502;337.3681;1.0000,
2024-10-22T10:00:00.0/2024-10-22T11:00:00.0;505.7372;354.3507;271.6487;82.7020;738.6343;272.1079;143.8501;128.2578;401.5414;1.0000,
2024-10-22T11:00:00.0/2024-10-22T12:00:00.0;567.2938;405.1965;310.5721;94.6243;753.3419;239.1099;56.2929;182.8170;135.0067;1.0000,
2024-10-22T12:00:00.0/2024-10-22T13:00:00.0;575.3439;411.3745;313.4720;97.9025;749.7293;280.4646;100.4689;179.9957;241.8119;1.0000,
2024-10-22T13:00:00.0/2024-10-22T14:00:00.0;529.3224;372.1574;280.1278;92.0296;727.8106;287.5244;142.5485;144.9759;367.8509;1.0000,
2024-10-22T14:00:00.0/2024-10-22T15:00:00.0;432.3510;290.7845;209.5778;81.2067;664.9684;152.1008;19.5218;132.5789;60.4016;1.0000,
2024-10-22T15:00:00.0/2024-10-22T16:00:00.0;291.0245;176.9695;114.2119;62.7576;531.3913;103.2116;18.6266;84.5849;106.1550;1.0000,
2024-10-22T16:00:00.0/2024-10-22T17:00:00.0;114.9613;53.6715;24.4686;29.2029;232.1301;51.1706;19.5291;31.6416;193.0078;1.0000,
2024-10-22T17:00:00.0/2024-10-22T18:00:00.0;0.8254;0.2029;0.0083;0.1946;0.0000;0.2029;0.0083;0.1946;0.0000;0.9833,
2024-10-22T18:00:00.0/2024-10-22T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T19:00:00.0/2024-10-22T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T20:00:00.0/2024-10-22T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T21:00:00.0/2024-10-22T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T22:00:00.0/2024-10-22T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-22T23:00:00.0/2024-10-23T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T00:00:00.0/2024-10-23T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T01:00:00.0/2024-10-23T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T02:00:00.0/2024-10-23T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T03:00:00.0/2024-10-23T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T04:00:00.0/2024-10-23T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T05:00:00.0/2024-10-23T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T06:00:00.0/2024-10-23T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T07:00:00.0/2024-10-23T08:00:00.0;57.4403;22.6081;8.6435;13.9646;113.4595;20.6965;6.6999;13.9966;87.9465;0.6250,
2024-10-23T08:00:00.0/2024-10-23T09:00:00.0;235.6344;130.4809;80.8731;49.6079;457.6143;120.8610;68.5025;52.3585;382.3508;0.8417,
2024-10-23T09:00:00.0/2024-10-23T10:00:00.0;388.0110;246.4015;175.3453;71.0563;619.4712;232.3730;155.2667;77.1063;553.7596;1.0000,
2024-10-23T10:00:00.0/2024-10-23T11:00:00.0;498.6769;334.1176;248.1203;85.9973;684.4343;314.4460;218.3703;96.0757;604.2582;1.0000,
2024-10-23T11:00:00.0/2024-10-23T12:00:00.0;560.0709;382.6197;286.7473;95.8724;704.8777;328.2653;169.1499;159.1155;417.1389;1.0000,
2024-10-23T12:00:00.0/2024-10-23T13:00:00.0;567.9910;388.4869;289.1986;99.2882;700.9907;284.0245;78.6945;205.3300;190.1251;1.0000,
2024-10-23T13:00:00.0/2024-10-23T14:00:00.0;521.8815;351.0165;255.2506;95.7659;672.8647;242.8548;62.5261;180.3287;167.6231;1.0000,
2024-10-23T14:00:00.0/2024-10-23T15:00:00.0;424.8702;272.0674;186.0108;86.0566;600.3846;164.6871;12.7725;151.9146;38.4110;1.0000,
2024-10-23T15:00:00.0/2024-10-23T16:00:00.0;283.5550;161.2659;94.0276;67.2383;446.3843;110.6933;6.5358;104.1574;31.7054;1.0000,
2024-10-23T16:00:00.0/2024-10-23T17:00:00.0;107.5534;45.2506;16.1695;29.0811;154.8121;38.2673;5.6934;32.5740;71.0868;0.9083,
2024-10-23T17:00:00.0/2024-10-23T18:00:00.0;0.2945;0.0655;0.0036;0.0619;0.0000;0.0655;0.0036;0.0619;0.0000;0.9667,
2024-10-23T18:00:00.0/2024-10-23T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T19:00:00.0/2024-10-23T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T20:00:00.0/2024-10-23T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T21:00:00.0/2024-10-23T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T22:00:00.0/2024-10-23T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-23T23:00:00.0/2024-10-24T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T00:00:00.0/2024-10-24T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T01:00:00.0/2024-10-24T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T02:00:00.0/2024-10-24T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T03:00:00.0/2024-10-24T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T04:00:00.0/2024-10-24T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T05:00:00.0/2024-10-24T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T06:00:00.0/2024-10-24T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T07:00:00.0/2024-10-24T08:00:00.0;52.5833;21.1130;7.5899;13.5231;102.8930;2.4358;0.0000;2.4358;0.0000;0.6333,
2024-10-24T08:00:00.0/2024-10-24T09:00:00.0;228.9587;129.5607;79.1975;50.3633;460.2909;13.8051;0.0000;13.8051;0.0000;0.8417,
2024-10-24T09:00:00.0/2024-10-24T10:00:00.0;381.1457;246.5160;174.3719;72.1441;627.5037;20.9826;0.0000;20.9826;0.0000;1.0000,
2024-10-24T10:00:00.0/2024-10-24T11:00:00.0;491.6335;334.4296;245.7407;88.6889;688.0118;25.0623;0.0000;25.0623;0.0000;1.0000,
2024-10-24T11:00:00.0/2024-10-24T12:00:00.0;552.8735;382.8735;283.2985;99.5750;705.8558;55.3977;0.0529;55.3448;0.1291;1.0000,
2024-10-24T12:00:00.0/2024-10-24T13:00:00.0;560.6746;385.1968;279.7986;105.3982;687.3446;113.0413;0.2560;112.7852;0.6245;1.0000,
2024-10-24T13:00:00.0/2024-10-24T14:00:00.0;514.4894;341.1026;236.0392;105.0634;631.1127;248.3213;127.4342;120.8871;350.3408;1.0000,
2024-10-24T14:00:00.0/2024-10-24T15:00:00.0;417.4512;256.7900;160.9768;95.8132;528.0099;237.1233;132.0005;105.1228;440.0373;1.0000,
2024-10-24T15:00:00.0/2024-10-24T16:00:00.0;276.1599;147.5565;77.1374;70.4190;376.2257;147.5565;77.1374;70.4190;376.2257;1.0000,
2024-10-24T16:00:00.0/2024-10-24T17:00:00.0;100.2314;39.6698;13.1653;26.5045;132.9874;39.6698;13.1653;26.5045;132.9874;0.9083,
2024-10-24T17:00:00.0/2024-10-24T18:00:00.0;0.0326;0.0074;0.0021;0.0053;0.0000;0.0074;0.0021;0.0053;0.0000;0.9833,
2024-10-24T18:00:00.0/2024-10-24T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T19:00:00.0/2024-10-24T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T20:00:00.0/2024-10-24T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T21:00:00.0/2024-10-24T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T22:00:00.0/2024-10-24T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-24T23:00:00.0/2024-10-25T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T00:00:00.0/2024-10-25T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T01:00:00.0/2024-10-25T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T02:00:00.0/2024-10-25T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T03:00:00.0/2024-10-25T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T04:00:00.0/2024-10-25T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T05:00:00.0/2024-10-25T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T06:00:00.0/2024-10-25T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T07:00:00.0/2024-10-25T08:00:00.0;47.9154;17.1346;4.9936;12.1410;70.6368;2.1080;0.0000;2.1080;0.0000;0.6500,
2024-10-25T08:00:00.0/2024-10-25T09:00:00.0;222.2934;114.1457;61.4676;52.6781;365.7589;12.8420;0.0000;12.8420;0.0000;0.8417,
2024-10-25T09:00:00.0/2024-10-25T10:00:00.0;374.2939;227.1533;151.2581;75.8952;552.6472;19.9647;0.0000;19.9647;0.0000;1.0000,
2024-10-25T10:00:00.0/2024-10-25T11:00:00.0;484.6100;317.5705;233.5423;84.0282;662.9833;25.5663;0.0000;25.5663;0.0000;1.0000,
2024-10-25T11:00:00.0/2024-10-25T12:00:00.0;545.7050;370.1922;287.2674;82.9249;725.2982;30.7798;0.0000;30.7798;0.0000;1.0000,
2024-10-25T12:00:00.0/2024-10-25T13:00:00.0;553.3981;379.2527;300.1469;79.1059;747.5443;31.9244;0.0000;31.9244;0.0000;1.0000,
2024-10-25T13:00:00.0/2024-10-25T14:00:00.0;507.1497;343.8005;269.4516;74.3490;731.9155;65.5663;0.0370;65.5293;0.1066;1.0000,
2024-10-25T14:00:00.0/2024-10-25T15:00:00.0;410.0976;267.2169;201.7034;65.5136;675.8894;118.5877;12.0308;106.5568;45.5207;1.0000,
2024-10-25T15:00:00.0/2024-10-25T16:00:00.0;268.8427;158.4641;107.5086;50.9554;541.1992;112.8219;28.7809;84.0410;163.2251;1.0000,
2024-10-25T16:00:00.0/2024-10-25T17:00:00.0;93.0063;41.5791;19.8219;21.7573;211.5432;41.5791;19.8219;21.7573;211.5432;0.9167,
2024-10-25T17:00:00.0/2024-10-25T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T18:00:00.0/2024-10-25T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T19:00:00.0/2024-10-25T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T20:00:00.0/2024-10-25T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T21:00:00.0/2024-10-25T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T22:00:00.0/2024-10-25T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-25T23:00:00.0/2024-10-26T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T00:00:00.0/2024-10-26T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T01:00:00.0/2024-10-26T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T02:00:00.0/2024-10-26T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T03:00:00.0/2024-10-26T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T04:00:00.0/2024-10-26T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T05:00:00.0/2024-10-26T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T06:00:00.0/2024-10-26T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T07:00:00.0/2024-10-26T08:00:00.0;43.4638;16.5588;4.3087;12.2502;61.6462;16.5588;4.3087;12.2502;61.6462;0.6667,
2024-10-26T08:00:00.0/2024-10-26T09:00:00.0;215.6408;118.7199;62.7516;55.9683;384.0380;118.7199;62.7516;55.9683;384.0380;0.8417,
2024-10-26T09:00:00.0/2024-10-26T10:00:00.0;367.4583;236.0335;154.5848;81.4487;575.9695;235.5969;153.9507;81.6463;573.9265;1.0000,
2024-10-26T10:00:00.0/2024-10-26T11:00:00.0;477.6092;327.1374;233.6540;93.4834;673.6216;293.8675;185.0950;108.7725;531.3849;1.0000,
2024-10-26T11:00:00.0/2024-10-26T12:00:00.0;538.5684;378.6170;279.8460;98.7710;716.4135;260.0443;102.0249;158.0194;264.3109;1.0000,
2024-10-26T12:00:00.0/2024-10-26T13:00:00.0;546.1650;383.2506;283.9738;99.2768;716.9476;236.9977;77.0839;159.9138;193.4551;1.0000,
2024-10-26T13:00:00.0/2024-10-26T14:00:00.0;499.8660;340.9227;246.4484;94.4743;679.2158;133.6093;2.4733;131.1360;6.5788;1.0000,
2024-10-26T14:00:00.0/2024-10-26T15:00:00.0;402.8129;258.0860;174.9736;83.1123;596.2275;96.4223;0.2948;96.1274;0.9973;1.0000,
2024-10-26T15:00:00.0/2024-10-26T16:00:00.0;261.6070;148.7067;89.1288;59.5779;461.4396;101.7408;16.3519;85.3889;104.2272;1.0000,
2024-10-26T16:00:00.0/2024-10-26T17:00:00.0;86.1250;37.1676;16.0007;21.1670;178.0948;31.0361;10.9438;20.0923;100.2517;0.9333,
2024-10-26T17:00:00.0/2024-10-26T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T18:00:00.0/2024-10-26T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T19:00:00.0/2024-10-26T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T20:00:00.0/2024-10-26T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T21:00:00.0/2024-10-26T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T22:00:00.0/2024-10-26T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-26T23:00:00.0/2024-10-27T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T00:00:00.0/2024-10-27T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T01:00:00.0/2024-10-27T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T02:00:00.0/2024-10-27T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T03:00:00.0/2024-10-27T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T04:00:00.0/2024-10-27T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T05:00:00.0/2024-10-27T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T06:00:00.0/2024-10-27T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T07:00:00.0/2024-10-27T08:00:00.0;39.2300;15.4465;5.7350;9.7115;89.8394;2.0122;0.0000;2.0122;0.0000;0.6833,
2024-10-27T08:00:00.0/2024-10-27T09:00:00.0;209.0034;117.2528;75.3116;41.9412;478.4922;13.7452;0.0000;13.7452;0.0000;0.8417,
2024-10-27T09:00:00.0/2024-10-27T10:00:00.0;360.6417;231.3874;172.8974;58.4900;658.1080;20.7342;0.0000;20.7342;0.0000;1.0000,
2024-10-27T10:00:00.0/2024-10-27T11:00:00.0;470.6342;317.9023;249.9364;67.9660;731.9962;37.4398;0.0024;37.4373;0.0066;1.0000,
2024-10-27T11:00:00.0/2024-10-27T12:00:00.0;531.4673;365.4664;292.3683;73.0982;758.9473;111.6790;0.3506;111.3284;0.9152;1.0000,
2024-10-27T12:00:00.0/2024-10-27T13:00:00.0;538.9787;370.1118;297.8810;72.2309;762.5447;90.1147;0.0475;90.0672;0.1204;1.0000,
2024-10-27T13:00:00.0/2024-10-27T14:00:00.0;492.6418;331.7180;266.3644;65.3536;745.6167;76.1201;0.0025;76.1176;0.0069;1.0000,
2024-10-27T14:00:00.0/2024-10-27T15:00:00.0;395.6008;253.8592;198.6799;55.1793;690.9324;69.4985;0.0095;69.4890;0.0380;1.0000,
2024-10-27T15:00:00.0/2024-10-27T16:00:00.0;254.4564;146.3799;105.1546;41.2253;559.8321;76.1263;1.0144;75.1120;5.8062;1.0000,
2024-10-27T16:00:00.0/2024-10-27T17:00:00.0;79.5817;34.5117;18.5641;15.9476;219.3242;23.4450;1.3261;22.1189;30.8727;0.9500,
2024-10-27T17:00:00.0/2024-10-27T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T18:00:00.0/2024-10-27T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T19:00:00.0/2024-10-27T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T20:00:00.0/2024-10-27T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T21:00:00.0/2024-10-27T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T22:00:00.0/2024-10-27T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-27T23:00:00.0/2024-10-28T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-28T00:00:00.0/2024-10-28T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-10-28T01:00:00.0/2024-10-28T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
