# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2024-08-22T00:00:00.0,
# Date end (ISO 8601): 2025-12-23T00:00:00.0,
# Latitude (positive North,ISO 19115): 53.6985
# Longitude (positive East,ISO 19115): -6.2080
# Altitude (m): 0.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2025-12-24,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2024-08-23T00:00:00.0/2024-08-23T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T01:00:00.0/2024-08-23T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T02:00:00.0/2024-08-23T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T03:00:00.0/2024-08-23T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T04:00:00.0/2024-08-23T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T05:00:00.0/2024-08-23T06:00:00.0;34.5421;12.9712;4.8029;8.1683;75.9522;12.9712;4.8029;8.1683;75.9522;0.7083,
2024-08-23T06:00:00.0/2024-08-23T07:00:00.0;218.2430;122.4474;78.5841;43.8633;457.3274;122.4474;78.5841;43.8633;457.3274;0.9667,
2024-08-23T07:00:00.0/2024-08-23T08:00:00.0;417.3960;276.5533;207.9884;68.5649;658.7584;276.5533;207.9884;68.5649;658.7584;1.0000,
2024-08-23T08:00:00.0/2024-08-23T09:00:00.0;602.3860;429.8407;343.4377;86.4029;757.9516;429.3955;342.6270;86.7685;756.3718;1.0000,
2024-08-23T09:00:00.0/2024-08-23T10:00:00.0;760.5798;558.4109;444.8111;113.5998;779.6071;521.0707;376.5901;144.4806;656.4390;1.0000,
2024-08-23T10:00:00.0/2024-08-23T11:00:00.0;881.1691;650.4852;497.6442;152.8410;752.8243;577.1213;361.7025;215.4187;547.9108;1.0000,
2024-08-23T11:00:00.0/2024-08-23T12:00:00.0;955.9074;703.4036;515.2477;188.1559;718.4327;507.6206;193.7998;313.8208;271.5784;1.0000,
2024-08-23T12:00:00.0/2024-08-23T13:00:00.0;979.6743;721.3614;523.7970;197.5644;712.4796;373.1588;58.9564;314.2024;80.2941;1.0000,
2024-08-23T13:00:00.0/2024-08-23T14:00:00.0;950.8245;702.5421;522.4435;180.0986;732.2609;529.8401;269.5578;260.2823;374.8098;1.0000,
2024-08-23T14:00:00.0/2024-08-23T15:00:00.0;871.3007;639.2078;480.3416;158.8661;734.5905;441.7759;181.3992;260.3768;279.3730;1.0000,
2024-08-23T15:00:00.0/2024-08-23T16:00:00.0;746.5018;534.4411;396.4883;137.9527;706.9576;426.6741;232.0125;194.6616;426.2303;1.0000,
2024-08-23T16:00:00.0/2024-08-23T17:00:00.0;584.9146;397.4507;280.7933;116.6574;637.4828;322.5936;173.3102;149.2834;375.8896;1.0000,
2024-08-23T17:00:00.0/2024-08-23T18:00:00.0;397.5354;244.4089;155.8527;88.5562;515.8850;138.6239;39.5551;99.0688;118.9617;1.0000,
2024-08-23T18:00:00.0/2024-08-23T19:00:00.0;197.1195;96.7833;46.8529;49.9305;291.3696;71.6323;21.3739;50.2584;127.1564;1.0000,
2024-08-23T19:00:00.0/2024-08-23T20:00:00.0;23.0565;7.0880;1.3194;5.7687;24.6403;7.0880;1.3194;5.7687;24.6403;0.7917,
2024-08-23T20:00:00.0/2024-08-23T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T21:00:00.0/2024-08-23T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T22:00:00.0/2024-08-23T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T23:00:00.0/2024-08-24T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-24T00:00:00.0/2024-08-24T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-24T01:00:00.0/2024-08-24T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-24T02:00:00.0/2024-08-24T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-24T03:00:00.0/2024-08-24T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-24T04:00:00.0/2024-08-24T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-24T05:00:00.0/2024-08-24T06:00:00.0;31.3297;10.7768;2.6383;8.1385;42.6476;10.7768;2.6383;8.1385;42.6476;0.7250,
2024-08-24T06:00:00.0/2024-08-24T07:00:00.0;212.9654;114.6981;64.7976;49.9005;378.6169;114.6981;64.7976;49.9005;378.6169;0.9667,
2024-08-24T07:00:00.0/2024-08-24T08:00:00.0;412.4028;271.0438;197.6252;73.4186;631.7671;271.0438;197.6252;73.4186;631.7671;1.0000,
2024-08-24T08:00:00.0/2024-08-24T09:00:00.0;597.5941;427.4581;345.0938;82.3644;767.3365;427.4581;345.0938;82.3644;767.3365;1.0000,
2024-08-24T09:00:00.0/2024-08-24T10:00:00.0;755.8923;561.0025;460.7440;100.2585;812.6099;561.0025;460.7440;100.2585;812.6099;1.0000,
2024-08-24T10:00:00.0/2024-08-24T11:00:00.0;876.4814;660.4738;528.9681;131.5056;804.6702;642.3670;493.0505;149.3165;752.2686;1.0000,
2024-08-24T11:00:00.0/2024-08-24T12:00:00.0;951.1151;720.6027;559.0852;161.5174;783.7525;613.8145;350.6855;263.1290;491.2241;1.0000,
2024-08-24T12:00:00.0/2024-08-24T13:00:00.0;974.6797;736.7432;557.3721;179.3710;762.3560;601.6719;308.3709;293.3011;421.8524;1.0000,
2024-08-24T13:00:00.0/2024-08-24T14:00:00.0;945.5438;706.8509;522.1101;184.7408;735.9752;666.7202;444.6366;222.0836;627.1519;1.0000,
2024-08-24T14:00:00.0/2024-08-24T15:00:00.0;865.6693;631.8741;448.2061;183.6680;689.6874;419.2949;157.7820;261.5129;243.3786;1.0000,
